FSCA	EGFP	classification
469377.3	776.8	low
683865.9	774.95	low
658033.2	769.7	low
504337	768.4	low
878936.2	760.7	low
521713.8	747.3	low
490266.4	741.65	low
369959.6	740.5	low
359156	732.8	low
653717.8	731	low
695785.8	720.75	low
426757.8	716.95	low
781373.1	713.75	low
571255.7	708.8	low
377784.4	708.2	low
442470.3	705.3	low
556323.8	700.3	low
470617.3	668.05	low
493111.7	653.1	low
351231.6	636.05	low
393308.9	635.95	low
320845.2	634.9	low
474255	631.1	low
673071.7	630.5	low
478470.2	629.7	low
476013.3	629.2	low
329577.1	625.5	low
642061.8	617.25	low
234430.3	615.2	low
536856.7	610	low
466256.6	607.5	low
362337.3	600.5	low
437738	594.7	low
446213	592.7	low
576627.4	589.45	low
466107.7	583.35	low
376184.1	574.4	low
575147.3	548.2	low
416803.1	529.9	low
435333.9	517	low
428507.4	508.3	low
393238.7	506.45	low
305335.7	502.55	low
460355.1	482.65	low
453047	474.3	low
267362.8	473.45	low
340961.6	446.9	low
287186.5	443.55	low
450961.3	432.75	low
427442.4	404.2	low
563107.2	393.05	low
455672.6	363.3	low
409741	309.05	low
344980.7	305.6	low
311551.6	268.5	low
573140.6	262	low
440432.8	233	low
507636.8	231.3	low
484282.3	215.2	low
444192.3	193.45	low
347963.9	192.3	low
446871.5	178.1	low
358367.4	167.8	low
528003	137.95	low
488545.5	73.85	low
498310.5	41.1	low
332761.4	19.75	low
